"rd_logD","rd_MR"
-0.14,45.59
-1.53,51.88
2.07,94.15
2.77,92.01
1.96,78.36
1.91,86.59
-2.01,103.64
-0.46,57.3
0.56,58.41
1.97,136.25
1.1,85.39
4.34,140.98
1.5,93.02
1.79,51.91
0.08,82.93
0.33,42.48
0.39,65.53
1.57,73.8
